,hotel,review
24,1,"Wow! What a spectacular place to stay and celebrate my engagement! Jason and his wife went above and beyond to accommodate my fiancé and I for this stay. I would give this place a 110 percent satisfaction rating, thank you guys sooo sooo much!!!"
25,1,Thankyou so much Megan ! We appreciate the review and so glad you enjoyed your stay !
26,1,"Great scenery, amazing hosts, and perfect home. Loved every second of our trip."
27,1,We’re so happy to hear your trip was great ! Thankyou Landon!
28,1,"What a Great Place! Architecturally beautiful. Neat, clean and crisp. So helpful. The pastry upon arrival was totally on point. Refreshing. Looking forward to going back. A/C"
29,1,Thankyou Duane ! We appreciate the kind review!
30,1,"We loved this stay! It was a perfect place for our short couples retreat.

The aframe is stunning both inside and outside with the views! We loved the hot tub on the deck that overlooks the mountains and peaceful farm lands.

It was all very private and quiet.

The bedding was clean and comfortable!
The bathroom was fresh and clean.

Just enough space in the kitchen and living area to relax and have nice home cooked meals.

We loved that there was plenty of space for us to practice yoga either inside or on the deck.

The host was really on top of the communications before and during our stay.

We loved it and would stay again ☺️"
31,1,Thankyou Rachel ! We’d love to have you back !
32,1,"The a-frame was easy to find, and spotlessly clean. We had a relaxing girls weekend here, and spent hours enjoying the view and the hot tub. The only problem we had was deciding which winery to visit for a wine tasting. Check-in and check-out were very simple, and the a-frame was furnished very well. I would definitely stay here again."
33,1,Thankyou for the review! We can see how the winery decision could cause an issue 😃Thankyou again for the kind review !
34,1,Such a wonderful stay! Would 100% return. So exciting so see such a beautiful part of NC! Jason is so helpful and responsive.
35,1,This place is beautiful we will return again soon ❤️ ♥️
36,1,"This stay was absolutely perfect and exactly what we thought it would be. With a beautiful view of the mountains, a gorgeous sunset, a fun hot tub, and a relaxing, intimate space, we were able to have a wonderful weekend. Jason, the host, was responsive and attentive to all of our needs. He was easily reached and quick with communication. We took advantage of his suggestions and got dinner at one of the local seafood restaurants (a great date night place). Overall, a lovely weekend, enjoying each other and God’s beautiful nature views."
37,1,"We had an amazing stay. Cozy place, wonderful view, Jason is very helpful and quickly answers our calls helping us. We will definitely be back ⭐️⭐️⭐️⭐️⭐️"
38,1,"Our stay couldn't have been better. The place was efficient, but very well equipped. Clean, affordable, and truly beautiful. Wouldn't change a thing."
39,1,"What a hidden gem! We felt right at home at Jason’s place. The hot-tub was the perfect feature for a relaxing weekend retreat, and the coffee cake was delicious! Everything was very clean and as described. We would gladly stay again!"
40,1,Such beautiful views and an aesthetically cute A-frame stay. The host was easily reachable and was quick to respond. Definitely worth the money and would consider staying again!
41,1,"We really loved staying at Jason’s. It had 180° views of the mountains and felt very much at home.
It had anything and everything we didn’t even know we might want including candles, French press, robes, and plenty of pillows and throw blankets.
There was a coffee cake for us when we arrived and had it with breakfast for the three mornings we got to spend there. It was absolutely delicious and I would book this place again just for it.
Food lion, restaurants, and snack bars are less than a 10 minute drive away.
The house is very well lit, clean, and the perfect amount of space for the two of us to cook three dinners and relax. The surrounding cows were very nice to look out on in the mornings. Would move in tomorrow if we could.
Jason was very a helpful and responsive host who recommended local wineries, breweries, and coffee.

We’ll be back, out of the other airbnbs we’ve stayed at this is our favorite"
42,1,Great cozy place to get away from the hustle and bustle. Amazing views and centrally located to quite a few things with just a short drive. Coffee cake was also amazing and the coffee blend was superb. Great stay and would recommend
43,1,"Jason and Mary’s place looks even better than the pictures. Don’t think twice about staying here! The modern A-frame cabin is such a beautiful aesthetic. The surroundings are so peaceful and there are plenty of gorgeous wineries to tour if you’d like. Raffaldini’s was my favorite and it’s just down the road. The hot tub was clean and cozy on a cold night, the space was clean and full of thoughtful touches—don’t forget about the fire pit above the cabin and corn hole set up to the side. It’s so nice to see cows settled down in the nearby pasture when you wake up in the morning! Overall my favorite Air BnB I’ve ever stayed in."
44,1,"Jason’s place was very nice & we enjoyed all the amenities it offered. The hot tub was super relaxing and clean and seeing the cows outside was awesome! The home was immaculately cleaned, the bed was EXTREMELY comfy & the loft was super cool. We enjoyed our Christmas getaway. Jason was very kind and accommodating to our small hiccup we had on the trip, which we were very grateful for! Stay here if you love antique shopping and thrifting :)"
45,1,This place is beautiful and fun. A great place for a getaway with my wife.
46,1,We are coming back!
47,1,"Our stay at the A-frame was incredible! Easily one of our top places we’ve stayed in since joining Airbnb! Such a beautiful, private and peaceful place to get away with incredible views from every angle of the property. Highly recommend!! Jason and Mary were very friendly as well! Mary even baked us a coffee cake that was incredibly delicious and it added that extra spark to top off our amazing stay. If we’re ever looking to go back to this area, without hesitation we will be booking this spot again!"
48,1,very nice little place. everything was as expected.
49,1,Thank you ! We’re glad you enjoyed your stay!
50,1,"Perfect little getaway spot! The cabin was clean and stocked with anything you could possibly need.

The area is quiet and the views are amazing. Would love to come back again soon!"
51,1,"This cabin is the perfect little romantic getaway! Jason is very helpful and promptly responds if you need him. The cabin was pristine, and quaint. It had everything we were looking for! The views are absolutely stunning, and it’s situated less than 2 miles from the newest up and coming wine regions in the country! I’ve been to California, Charlottesville, Asheville, and some between and I would put these vintages against any I’ve tried! If you like Italian grapes or French, you can find wine within a 30 minute drive!"
52,1,Thankyou for your Feedback! We appreciate it. We’re so glad your stay was enjoyable!
53,1,Very peaceful and relaxing stay. Cozy and comfortable. Loved watching the cows right from the house.
54,1,Thankyou Kelley! We are glad you found the place to be peaceful! We love the cows as well. 😊
55,1,"Absolutely perfect place for our mini honeymoon! It was so peaceful and beautiful. Small cozy home, perfect size for a couple. We will definitely look into going back"
56,1,Thankyou Tristen! Glad you enjoyed your stay ! We look forward to having you back !
57,1,"We enjoyed our romantic getaway to this unique stay! This home was so clean, warm and cozy! This was truly an amazing experience we will cherish! The communication was great as well! Thank you so much!"
58,1,"Thankyou for the feedback Jennifer !We’re so happy to hear you enjoyed your stay and made some great memories!

Jason and Mary"
59,1,"Highly recommend Swan Creek A-frame!
Cozy, homey, romantic place to stay with amazing views of mountains and valleys.
All the attention to details made it a very special experience.
They even offer a specialty coffee ~ it is amazing! You will want to try it!
A well stocked kitchen ~ very nice. And a very cozy bedroom!❤️"
60,1,We appreciate the feedback. Thanks!! Glad to hear that you enjoyed your stay!
61,1,"We had a really good stay here! It was far enough off the road to be nice and quiet, beautiful views of the surrounding mountains. The space is very unique with the angled windows in the front. Not super big inside but it didn’t feel crowded. The view from the loft is amazing! If you are looking for a quiet weekend getaway in the country and enjoy watching the sunset from the hot tub then you will probably like this place!"
62,1,Thankyou for the review Jacob . We appreciate the feedback and are glad you enjoyed your stay !
63,1,Nice place for a mini vacay!
64,2,The treehouse was amazing! It was very private and cozy. My fiancé and I arrived late at night and they had turned on the heater for our arrival which was much appreciated. We stayed for 4 nights and Chris and Torie checked in multiple times to make sure we were all set and to see if we needed anything. Their guidebook was perfect and there was so much to do in the area. Highly recommend.
65,2,Staying in this treehouse was nothing short of magical! The perfect mountain getaway that's cozy and intimate without leaving any of the comforts of home behind.
66,2,Everything was great and completely what we expected…loved it!
67,2,The treehouse is just as magical as it looks in the pictures! It was chilly our first night (low 40s) and we were cozy and warm. Beautiful deck for coffee in the morning and wine in the evening. You feel like you are isolated deep in the woods while you are right in their backyard! It is an experience you dont want to miss!
68,2,such an amazing experience and such great hosts! definitely will be back :)
69,2,"Wow! One of my favorite Airbnb stays! It was the perfect treehouse in nature, but still close to the city. It was private, thoughtful, and the perfect getaway for a solo adventure! Perfect for two people as well.

I enjoyed the outdoor shower and composting toilet. Got me back to my roots ;). I will def be back!

The deck porch was so cute and loved the fire pit!"
70,2,Such a sweet spot and perfect for a little photography project my friend and I had in mind. so glad they let us use the treehouse!!
71,2,"So thankful for this opportunity to room WOTH Christopher and Torie! They were amazing! The place was so peaceful and exactly what I needed to relax and take a few days off from ADULTING 😂
I highly recommend the tree house!
I’ll be back very soon!"
72,2,The Beacon Treehouse was perfect for a cozy night in!
73,2,"This spot was very cozy and warm during the cold nights with the overhead heating and blankets. It was a little close to the highway, but still private enough. We had some weather issues with the shower, but the hosts were communicative and honest about it."
74,2,"It was lovely. A little close to the main house but very cool to stay in a tree house with a coffee maker. it had heated blankets, and boy did they work. very close to everything. Sitting outside next to the fire 🔥was the highlight for me. if you want to get away and disconnect this is perfect."
75,2,"Their place was great! I stayed the night before going hiking, and it was perfect! The lights made it magical and it was private and well-kept! Worth it!"
76,2,"The treehouse was exactly as described! Dreams do come true! Caring hosts, a nice little town with friendly people!"
77,2,such a magical little place! thank you so much for making our trip special!
78,2,We really enjoyed our stay. It was a great place for a weekend getaway to unplug and unwind. We absolutely loved the place. Look forward to going back
79,2,Cozy little tree house perfect for time away from everyday stresses
80,2,trip was for my fiancé and i! we had so much fun her and i felt safe and cozy! small peaceful town with great food and vibes for all walks of life :) Christopher and Torie have a great bnb and i hope everyone gets to enjoy it!
81,2,"Its was a beautiful place to stay, we loved the whole set up! The fireplace is adorable and thank goodness for the heated-blanket thanks to the cold weather this weekend. The string lights add just the right touch, and what a beautiful place to stay in general.

The only things I’d say, is I wish there wasn’t such a large opening that was covered by a screen in the room where lots of wind came in so it was hard to keep warm. As well as not knowing the shower wasn’t going to work. There also isn’t any running water other than the shower so make sure to bring your own water."
82,2,The stay was amazing ! Super clean and beautiful and peaceful! Close to town which was nice too!
83,2,"This place is adorable! It brought my fairytale fantasy to life. Super cozy, so thankful for the cute decor and heated blanket. Thank you so much, I would definitely stay again"
84,2,"We had the best time at Christopher & Torie’s place! It was so cozy and peaceful and was perfect for a weekend getaway. Even though it was freezing out, we stayed warm with the heated blanket and never felt uncomfortable. Overall it was a beautiful location and the stay exceeded my expectations. We will definitely be back!"
85,2,"What a cute and cosy place !! It was a dreamy evening we spent here. It was warm and comfy in spite of the chilly winds outside.
The decorated bedroom and amenities are very convenient. We couldn’t use the shower as the temperatures were below freezing, but we were given sufficient heads up. We would definitely return in spring for another experience and use the fire pit 😍 100% recommended for a romantic evening!"
86,2,loved this treehouse! we had a great time!
87,2,The treehouse was beautiful and Christopher and Torie were helpful and accommodating. Would definitely stay here again!
88,2,"We have wanted to stay in a tree house for years. Well let me tell you this place did not disappoint us at all! It is so cute and peaceful! We listened to the rain on the roof and snuggled. The bed was so comfortable and I wanted to take the comforter home with me! The lighting is something out of a fairy tail! The heated blanket and the heater are top grade! We ended up turning both off after and hour because it stayed warm all night in the room. The ladder is something I was a littler nerves about but not after I went up it one time. It’s very well made. It’s not straight up so very easy to go up and down. We went downtown and had an amazing
meal some drinks. It only a couple of minutes from everything but feels like it own secluded world. Definitely recommend this tree house if you want a romantic quite get away or just peace."
89,2,"This was our first tree house experience, and it did not disappoint. The bed and pillows were very comfortable, and the room was beautiful. It was 40 degrees outside, but we didn't even need to turn on the heater or heated blanket. We stayed warm through the night. The traffic is a little loud, but ear plugs were provided, so it didn't bother us much. Would recommend this to anyone who loves the outdoors and glamping!"
90,2,"Chris and Torie’s treehouse is the stuff that dreams are made of. Everything fit the description and pictures to a T. My husband and I visited for a quick get away to celebrate his birthday and couldn’t have had a better experience. Chris and Torie were very responsive, offered great recommendations, and made sure to check on us multiple times. The treehouse was comfy and cozy and beautifully decorated. We enjoyed a nice fire in the fire pit and loved the ambiance of the lights. Of course, our favorite part was the heated blanket and bed. We stayed nice and warm despite the temperature being in the 20s. My husband said “this is how kings sleep”. Our favorite Air BnB experience so far by a long shot!"
91,2,Such a romantic and peaceful night!
92,2,We loved this fun stay!
93,2,The listing 100% matched the photos. The treehouse was extremely cozy and clean. Plenty of restaurants and things to do locally. I loved staying here on vacation and I would definitely do it again
94,2,"Such a novelty in glamping!! I more than enjoyed staying here for a few nights. Christopher & Torie made the stay extra special by helping celebrate a birthday; so kind & generous! The weather was rainy at times, only adding to the natural ambiance! The outdoor bathroom was particularly my favorite aspect, specifically the shower. So very thankful for this experience, & to escape into nature so comfortably."
95,2,"Christopher and Torie’s treehouse was perfect for a weekend getaway. It is close to town, yet feels isolated and cozy. I would definitely stay again and recommend!"
96,2,Awesome Host awesome stay
97,2,Very cute treehouse! It was definitely a chilly night but it was so worth it for the peaceful vibes!
98,2,"Our stay at the tree house was a great getaway for the weekend. Didn't expect it to be as cold as it was, but we stayed warm with the heater and electric blanket. It's very close to downtown Hendersonville, so plenty of restaurants and pubs. Also close to some of the wineries in the area. The tree house was clean and neat with an extremely comfy bed. We would definitely stay here again."
99,2,The tree house was perfect for a little getaway! So cute and cozy. The heater and heated blanket are plenty to keep you warm!
100,2,Christopher and Torie’s place was better than we imagined! It poured all through our stay but the treehouse kept us warm and dry. The bed is very comfortable and the sound of the rain on the roof was so peaceful. We wish we could’ve stayed longer!
101,2,The cutest little getaway!! Everything about this treehouse was so perfect! I felt safe and comfortable all night!
102,2,Everything was wonderful from the location to the communication of the hosts. They checked in with us every day to see if there was anything we need it or if we had any questions. We could not have had a better weekend.
103,2,"Overall the best air-bnb I’ve stayed at. Lovely little space tucked in their backyard with beautiful lighting and vines everywhere. There wasn’t a sink in the room which is okay but would’ve been very nice to have. We didn’t realize it would be so close to the house where children are and woodworking projects take place. They did stop the sawing and nailing before quiet hours, we just didn’t expect to hear kids and nail-guns. All and all great place and would recommend to anyone."
104,2,"If you are on the fence, do it! It was so fun staying in the treehouse, I didn't want to leave! So cozy and comfortable. I highly recommend!! Be aware there is no wifi...but it was so nice to disconnect for the night."
105,2,Loved how cozy the treehouse is and how the thought about everything!!
106,2,We are big campers so we absolutely loved this. It was pretty cold out but the heater and heated blanket kept us plenty warm. All of the lights and decor are so charming and adorable. I would highly recommend!
107,2,The treehouse was relaxing and very cozy. We had such a wonderful time.
108,2,"Absolutely amazing experience! If we could’ve stayed longer, we would have. Loved the peaceful and calming environment. Christopher and Torie were quick to respond. We definitely will be back."
109,2,This place was a dream come true! And the location is perfect. comfiest bed and best sleep i’ve had in so long. i’ll definitely be back!!
110,2,"What an amazing find and what a great location
It was perfect and every detail was right there, even had my favorite coffee creamer!!Such a cozy place to just relax and take in nature!!"
111,2,Have you ever wanted to spend the night inside a Christmas tree? Here's your chance. So many lights!! Can't say enough good things about this stay! It was like something out of a dream.
112,2,gorgeous treehouse and great location
113,2,"100/10!! Absolutely amazing, magical, comfy, cozy and beautiful stay. Highly recommend. This was our first treehouse stay and we will definitely be back."
114,2,"We loved staying in this enchanting little treehouse. Christopher and Torie were very responsive and even with stormy weather, we loved playing games on the covered porch. Another highlight was Sky Top Orchard- apple picking was the perfect activity to start our five year anniversary getaway!"
115,2,We loved staying in this treehouse! Definitely an experience we will never forget! Waking up and having a fresh cup of coffee up in the trees was so relaxing!
116,2,"Magical place! Lighting, fire pit, lovely rustic decor- all added up to charm! Hot water for shower, chairs upstairs and down, fan covers most traffic noise, Keurig/coffee/water bottles supplied- comfy memory foam mattress. Very convenient to downtown. Awesome stay!!!"
117,2,The most magical stay! Highly recommend staying here if you ever get a chance!
118,2,"Great location and super cozy. Quiet, just far enough out of town, and a great value."
119,2,Great place. Really unique and enjoyed our stay!
120,2,"Amazing place, definitely want to come back. They did a great job!"
121,2,"I surprised my wife with a quick stay in a treehouse. Initially she was confused as I walked her down the short path but as she settled from the shock, she loved it. The bed has wonderful memory foam and I slept way better than a hotel. It rained the duration of the stay but this added a mystical charm as we were secluded in the small treehouse. The treehouse is close to the owners residence but it felt a mile away. Kudos!"
122,2,"Was a great stay! Really enjoyed the vibes of the treehouse, Chris and Torie were very gracious to us. I’ll be back again!"
123,2,"The treehouse was the perfect little stay on our road trip. Loved the twinkle lights, and the beautiful porch. So much fun roasting marshmallows over the fire. Dreamy stay for sure!"
124,2,"So cozy and so quiet! If you’re looking for a cute getaway with a ton of character, this is your spot."
125,2,We loved our stayed here.! Is was a great experience! My wife always wanted to stay in tree house & it was a dreamed came true. It was a wonderful days to relax & escape from the the world. You wont regret it! Thank you so much.
126,2,"What a great unique stay! Thank you Christopher & Torie for being kind & communicative hosts who provided us with easy directions & recommendations in the cute downtown of Hendersonville. Treehouse was clean, the bed was really comfortable & the warm shower felt great after an afternoon of hiking at Triple Falls only 15min away. Thanks again!"
127,2,"The pictures honestly don’t do it justice. It was a beautiful, magical looking treehouse and was incredibly comfortable and cozy inside. The hosts were very thoughtful. Will have to stay here again for sure sometime!"
128,2,Very private from their house. Exactly as listed!
129,2,This treehouse was sooo dreamy. Highly recommend tom anyone!
130,2,It was a great place!
131,2,"Made my husbands dream come true. He always wanted to stay in a treehouse. Found this spot and it was absolutely stunning! From the moment we walked the trail to get to the treehouse to inside. Everything was stunning. My husband is constantly working and on his days off always doing for others and nothing for him, so I wanted to make sure on this particular day since it was also his birthday he would enjoy and relax the nature and surroundings this place offered. Chris and Torie went above and beyond when I reached out and ask for some assistance setting up.

They were quick to respond. Place was clean and organized. Instructions on how to use certain lights were detailed and explained. Close to literally everything. 5-10 minute drives.

Best part about our night, it drizzled until morning and it was amazing! Listening to the rain and seeing it from the roof of the treehouse.

Thank you Chris and Torie 🧿"
132,2,"Beautiful treehouse, very calming and good for the price, my only complaint is that the only clean water came from the shower, which was a bit weird. Christopher and Torie we’re both very gracious and checked in often, and created a lovely little corner of Hendersonville for their guests. I really liked it"
133,2,Great treehouse! 😊
134,2,"We had the most wonderful experience! Every detail was perfect, and it felt like I was living out a childhood dream. We could not have asked for anything more. Thank you Chris and Torie!"
135,2,Great getaway! So loved this treehouse. Definitely would recommend!
136,2,This place was adorable! We had a great stay and enjoyed the uniqueness of this treehouse! The town it is in is also full of fun spots and great eateries
137,2,We very much enjoyed out stay here! It's a beautiful spot in nature.
138,2,Very nice and unique a must do experience.
139,2,We had a wonderful time in the treehouse! It was just as cute as pictured and was a really fun “glamping” experience. The woods were beautiful and the sound of rain on the roof was magical. Thank you for a great stay!
140,2,Thanks for the stay!
141,2,We loved our stay. It was so much better than we imagined! The treehouse is beautiful at night and it felt like living in a fairytale. We were so sad to leave but super grateful for the time we had.
142,2,We enjoyed our stay. The treehouse was exactly like the listing and better. We were concern with the heat but the fan that Christopher and Torie had in the treehouse kept it cool all night. We can’t wait to come back. Christopher and Torie was very accommodating and allowed us to check in early. Thank you for the beautiful experience♥️
143,2,Beautiful and peaceful stay! Close to the downtown area which had some good restaurants. I’d definitely visit again.
144,2,"Thanks again for letting us visit your tree house ! Everything and more ! Excellent hosts !! Only wish we had more time ! I was a little worried about climbing up as I have a limp and being a little older, but they have thought of Everything and had a great sturdy railing to hold on to ! Hope to make it back there again for a week end trip!"
145,2,"Cute quirky treehouse, just as described! We had a blast!"
146,2,The Beacon Treehouse was a great stay for our 5th wedding anniversary!!
147,2,Amazing and cute little nature getaway
148,2,"My daughter and I had a wonderful girls weekend with the help of this amazing treehouse. My favorite part was listening to the rain on the roof before we went to sleep and my 7 year olds favorite thing was the outdoor shower (she said it was “the best shower of her life”). If you choose to stay here, you are sure to have a magical experience!"
149,2,"Super comfy bed, super close to some awesome waterfalls and great food in the small town of Hendersonville. There is a bit of road noise which is obvious if you don’t have the fan on. Overall great stay."
150,2,We loved the treehouse!!! It felt like a beautiful fairy treehouse and even though it was the middle of summer the fan helped and it wasnt unbearably hot. Amazing stay :)
151,2,"We've been interested in staying in a treehouse for a while, and this location - on the drive back from our honeymoon - provided the perfect opportunity! Lots of sweet little touches that really made the experience."
152,2,Our treehouse dreams were fulfilled! We loved the comfy bed and the heated outdoor shower! The lights created a romantic atmosphere. It’s a must if you are in the area :)
153,2,Very beautiful area! Loved the treehouse. It was so nice & peaceful
154,2,Everything was amazing at this place. We felt secluded but supported. Everything was perfect for what we were looking for.
155,2,beautiful stay and very comfortable bed! hosts were very communicative and easy to get in touch with.
156,2,"Such a fun, unique experience! Was all the “roughing it” this city girl can handle! Loved being able to hear all sounds of nature, especially an owl!"
157,2,"This was such a cute and unique place to stay for the night. Be prepared for the bathroom situation (which is about as nice as it can be without being an indoor bathroom). Was worried about the road noise but had no problem at sleeping at night, especially with the fan going. Overall a great place to stop through, and very close to Hendersonville!"
158,2,Fabulous
159,2,This stay was absolutely perfect for a weekend getaway. The hosts were extremely nice and accommodating. The tree house was special. The space was perfect for a little glamping. The shower was amazing. Would definitely recommend this stay!
160,2,Perfectly described in the listing. Several small touches that make it feel so comfortable and homey. We have already shared this place with several friends and plan to return.
161,2,"This treehouse was gorgeous inside and out. The host went out of their way to set up a cute surprise for my partner and I. There was also a cute fire pit that has fresh cut wood for us to use. One of my favorite parts of the stay was how pretty it looked lit up at night. I would definitely stay here again. A cool experience!

Just a tip! The bathroom is below the treehouse and if you are staying here make sure to pack shower shoes or some kind of flip flops that you can easily switch in and out of."
162,2,Cool treehouse! Even better than the photos. We had such a great experience here. Also the nest morning we went to a nearby brunch place Arabellas in Hendersonville. It's such a cute town.
163,2,Amazing place. Very clean and beautiful. Highly recommend.
164,2,"I wasn't expecting the house to be on their property (about 25 yards from their home) but the place was covered with trees and brush for privacy, so no issue there!. It is right next to a busy road if you care about that, I didn't mind though I actually like white noise while I sleep! overall, a pleasant experience. a vacation of my little self's dreams!!"
165,2,"We had a lovely stay at the Treehouse! It is relaxing and serene sleeping under the treetops. The weather was perfect! The outdoor bathroom was nice although bring along some hand sanitizer or soap for hand washing. The lights were left on for us, when we arrived just after dark. It was easy to find and a very cute little treehouse. My boyfriend is an engineer and marveled at the craftsmanship. The hosts communicated with us well about how to work everything and even sent a message to check on us during our stay. We absolutely loved it!"
166,2,Cozy and very peaceful!
167,2,"What a gem! Although our stay was short it was very sweet. We both work from home and wanted a little getaway to unplug. This treehouse was a dream. The bed was like sleeping on a cloud! The little touches made everything so special - the lights, the diffuser, the bedding and pillows… Utterly wonderful. It’s so magically! My favorite part was the outdoor shower. So relaxing. We will be back!"
168,2,Great city escape. Nice experience
169,2,Amazing treehouse in an great location. Excellent value. Christopher and Torie do a fantastic job communicating and providing a relaxing visit while providing many suggestions for activities. We will definitely look to come back in the future.
170,2,"My husband and I celebrated our one-year anniversary at Christopher and Torie’s tree house. The treehouse is adorable and beautiful at night with all of the lights. It is only a few minutes away from downtown, so we were able to quickly and easily grab some dinner. My husband and I had a great time, and we really hope to return sometime soon."
171,2,"We loved our stay at the treehouse! It rained our entire stay but the treehouse was a cozy, intimate place to snuggle up and enjoy being in nature. Such a unique place and great hosts. We will definitely book again if we are back in the area!"
172,2,The tree house is so beautiful and it’s very relaxing to wake up and hear the birds
173,2,What a wonderful stay! The experience was everything we expected. Hope to be back again soon 😊
174,2,Amazing stay at this treehouse. My wife and I enjoyed the quiet and comfy accommodations. Very close to downtown too. Hosts were always available.
175,2,Loved this unique little get away!
176,4,Amazing and peaceful place. Perfect place to unwind. Will definitely stay here again!
177,4,"The Treehouse is so lovely, thoughtfully designed, and in a truly idyllic setting. We enjoyed our stay immensely!

Loved watching the sunrise over the lake while drinking our morning coffee.

You can easily take a Lyft to uptown Charlotte if you prefer to dine out. The host recommended —The Crunkleton and it did not disappoint!!

We hope to return for a longer stay!!"
178,4,It was everything I expected!
179,4,Amazing and beautiful stay for any couple! What a treat for all
180,4,"I booked 1 night for a little staycation just by myself . I wish I could have stayed longer!! It was the peaceful evening I needed - laid in bed reading, woke up to the sunrise and coffee overlooking the lake and spent the morning relaxing. If I do it again I’ll book 2 nights at a minimum."
181,4,Very charming and great use of space as we felt comfortable and right at home! Loved how we were able to wake up to a sunset over the pond/lake and finish the night with a fire as well.
182,4,"Pictures do not do this wonderful retreat justice, it’s beautiful, nicely decorated and clean. Me and my hubby had a wonderful, restful, relaxing vacation and will definitely return."
183,4,Perfect spot to recharge and relax with your favorite person. We can’t wait to book our next stay there!
184,4,Highly recommend! This home is absolutely gorgeous. The location is perfect and hosts were top notch. We will definitely be back.
